Country Name,Country Code,Year,GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",GDP_growth,LE_change,Internet_growth,GDP_category,Internet_category
Afghanistan,AFG,2023,413.757894705303,17.7,66.035,15.813849746792986,0.4179999999999921,2.906976744186052,Low,Low
Africa Eastern and Southern,AFE,2024,1673.84113878039,,65.146290855385,6.739188288789433,0.659271309724204,,Lower-middle,
Africa Western and Central,AFW,2024,1284.15444092323,,58.8557215483276,-19.709886523227294,0.867908153808699,,Lower-middle,
Albania,ALB,2024,10011.6279856667,83.1,79.602,16.75134619790637,0.8329999999999984,0.0,Middle,Very High
Algeria,DZA,2024,5631.17999109851,76.9,76.261,4.980437151895889,0.1319999999999908,0.0,Middle,High
American Samoa,ASM,2023,18017.4589383973,,72.852,0.0,0.1000000000000085,,Upper-middle,
Andorra,AND,2024,49303.6733899464,95.4,84.041,5.321714680335976,0.0249999999999914,0.0,High,Very High
Angola,AGO,2024,2122.08368991872,44.8,64.617,-8.116374555343487,0.3710000000000093,0.0,Lower-middle,Medium
Antigua and Barbuda,ATG,2024,23725.7903725506,77.6,77.598,10.38050688366834,0.1149999999999948,0.0,Upper-middle,High
Arab World,ARB,2024,7521.15330929761,,72.4446783578531,0.5543709545125397,0.5685827586309102,,Middle,
Argentina,ARG,2024,13858.2039802008,89.2,77.395,-2.320910280359967,1.5889999999999986,0.0,Upper-middle,Very High
Armenia,ARM,2024,8500.60522486719,80.0,77.4658536585366,4.619305998647127,2.700000000000003,0.0,Middle,High
Aruba,ABW,2023,33984.7906198041,97.2,76.353,11.208473065406444,0.1269999999999953,0.0,High,Very High
Australia,AUS,2024,64407.484256932,97.1,83.0512195121951,-0.6607999372627127,-0.148780487804899,0.0,High,Very High
Austria,AUT,2024,56833.1960472053,94.9,81.5414634146342,1.4270413272364555,0.2463414634146943,-0.4197271773347277,High,Very High
Azerbaijan,AZE,2024,7283.83562954872,89.0,74.429,2.114210697353536,0.304000000000002,0.0,Middle,Very High
"Bahamas, The",BHS,2024,39455.4466548546,94.8,74.552,3.2006679969296403,0.061000000000007,0.0,High,Very High
Bahrain,BHR,2024,30048.2177718844,100.0,81.284,2.5882076700554317,0.2920000000000016,0.0,High,Very High
Bangladesh,BGD,2024,2593.41607390407,44.5,74.672,1.6620164961966166,0.4069999999999965,0.0,Lower-middle,Medium
Barbados,BRB,2024,25365.7949424181,80.0,76.178,6.560949047383002,0.5019999999999953,0.0,High,High
Belarus,BLR,2024,8316.64776291533,91.5,74.1837804878049,5.317297286746903,0.0804146341463933,0.0,Middle,Very High
Belgium,BEL,2024,55954.6106261018,94.6,82.3975609756098,2.3121487892885373,0.6487804878049133,0.0,High,Very High
Belize,BLZ,2024,8429.67959707387,72.4,73.566,12.998414022030724,1.3760000000000048,0.0,Middle,High
Benin,BEN,2024,1485.38018980894,32.2,60.774,6.541657751836638,0.2989999999999995,0.0,Lower-middle,Medium
Bermuda,BMU,2024,138934.958846463,98.4,82.309,4.773987812075475,0.2469999999999999,0.0,High,Very High
Bhutan,BTN,2023,3839.4093039286,88.4,72.975,3.45109985327523,0.2209999999999894,2.4333719582850577,Lower-middle,Very High
Bolivia,BOL,2024,4001.21133990795,70.2,68.581,8.54333850184359,1.1470000000000056,0.0,Middle,High
Bosnia and Herzegovina,BIH,2024,8957.37294188215,83.4,77.85,3.39777124212417,1.0729999999999933,0.0,Middle,Very High
Botswana,BWA,2024,7695.2420641819,81.4,69.163,-1.6752590617641006,0.4140000000000015,0.0,Middle,Very High
Brazil,BRA,2024,10280.3148624429,84.2,75.848,-0.9373508065813274,0.9759999999999992,0.0,Middle,Very High
British Virgin Islands,VGB,2023,,77.7,77.276,,0.0989999999999895,0.0,,High
Brunei Darussalam,BRN,2024,33417.8357740437,99.0,75.327,1.6031551298172797,2.4099999999999966,0.0,High,Very High
Bulgaria,BGR,2024,17412.4115085691,80.4,75.7073170731707,9.623287258522485,1.5463414634146062,0.0,Upper-middle,Very High
Burkina Faso,BFA,2024,987.321378101867,17.0,61.092,11.853718805872536,0.3919999999999959,0.0,Low,Low
Burundi,BDI,2024,153.930217854023,11.1,63.651,-19.859026658440538,0.7690000000000055,0.0,Low,Low
Cabo Verde,CPV,2024,5272.85253011419,73.5,76.059,8.466076555178237,0.152000000000001,0.0,Middle,High
Cambodia,KHM,2024,2627.8796974226,60.7,70.668,8.154389644798288,0.1400000000000005,0.0,Lower-middle,High
Cameroon,CMR,2024,1762.3683508844,41.9,63.7,1.4685942893586157,1.257000000000005,0.0,Lower-middle,Medium
Canada,CAN,2024,54282.6176051733,94.0,81.6465853658537,0.1148814529613462,0.4012195121951976,0.0,High,Very High
Caribbean small states,CSS,2024,20173.9564746676,,73.1716450013098,14.740381797219303,0.3393528922490958,,Upper-middle,
Cayman Islands,CYM,2023,97749.5078960846,81.1,80.358,6.016519381706886,0.3740000000000094,0.0,High,Very High
Central African Republic,CAF,2024,516.170424537757,7.51,57.408,4.071045635089199,38.59,0.0,Low,Low
Central Europe and the Baltics,CEB,2024,24543.3040551654,,77.8967836493153,8.122496199116958,1.2444849200569903,,Upper-middle,
Chad,TCD,2024,1016.08880662712,13.2,55.069,2.732930040724657,0.5410000000000039,0.0,Lower-middle,Low
Channel Islands,CHI,2023,74589.1381155014,,81.1,10.294405954436536,0.0999999999999943,,High,
Chile,CHL,2024,16709.8893972307,94.5,81.167,-2.0926133433006533,1.991,0.0,Upper-middle,Very High
China,CHN,2024,13303.1481543868,77.5,77.953,2.7176671355156445,-0.2489999999999952,0.0,Upper-middle,High
Colombia,COL,2024,7913.98801464547,77.3,77.725,13.043461248352406,1.2169999999999987,0.0,Middle,High
Comoros,COM,2024,1784.11546860293,35.7,66.777,6.058283493440131,0.2960000000000065,0.0,Lower-middle,Medium
"Congo, Dem. Rep.",COD,2024,647.435704836002,30.5,61.895,2.21663077267138,0.916000000000004,0.0,Low,Medium
"Congo, Rep.",COG,2024,2482.24894743495,38.4,65.772,0.1723377641079881,0.7720000000000056,0.0,Lower-middle,Medium
Costa Rica,CRI,2024,18587.1532203614,85.4,80.799,9.710328207440464,1.483000000000004,0.0,Upper-middle,Very High
Cote d'Ivoire,CIV,2024,2709.89511641252,40.7,61.944,6.0760052103843165,0.382000000000005,0.0,Lower-middle,Medium
Croatia,HRV,2024,23931.4528382746,83.2,78.4731707317073,9.448677985902032,0.897560975609693,0.0,Upper-middle,Very High
Cuba,CUB,2023,9605.26125067263,71.3,78.085,0.0,0.4559999999999888,4.392386530014636,Middle,High
Curacao,CUW,2023,21061.741639092,68.1,76.8,2.7314219451620048,0.0709999999999979,0.0,Upper-middle,High
Cyprus,CYP,2024,38654.16796875,91.2,81.648,5.752854791564488,1.2139999999999986,0.0,High,Very High
Czechia,CZE,2024,31706.6234229743,86.0,79.8780487804878,0.3658206244605555,0.9487804878048962,0.0,High,Very High
Denmark,DNK,2024,71851.7562131368,99.8,81.8536585365854,4.963749954718444,0.5487804878049047,1.0121457489878471,High,Very High
Djibouti,DJI,2024,3496.47111876763,65.0,65.987,2.912446619181908,0.4469999999999885,0.0,Lower-middle,High
Dominica,DMA,2024,10405.2787777582,83.8,71.132,4.966392928280072,0.0510000000000019,0.0,Middle,Very High
Dominican Republic,DOM,2024,10875.6618443092,84.6,73.72,2.306868680310714,-0.4909999999999996,0.0,Middle,Very High
Early-demographic dividend,EAR,2024,4529.82686738144,,71.7962449795855,4.804148356451599,0.3657897287160949,,Middle,
East Asia & Pacific,EAS,2024,13349.0833109152,,76.6595183258032,1.7622759598210358,-0.01726511426439,,Upper-middle,
East Asia & Pacific (IDA & IBRD countries),TEA,2024,10513.9755660123,,75.9085643603807,2.678808163473123,-0.0524703857529118,,Middle,
East Asia & Pacific (excluding high income),EAP,2024,10396.8255168912,,75.8806830895266,2.6769203311217904,-0.0518578541636998,,Middle,
Ecuador,ECU,2024,6874.705739766,77.2,77.392,2.031186611135749,0.8149999999999977,6.1898211829436,Middle,High
"Egypt, Arab Rep.",EGY,2024,3338.47371395895,72.7,71.633,-3.42271244131398,0.6229999999999905,0.0,Lower-middle,High
El Salvador,SLV,2024,5579.65969165029,67.7,72.099,3.992488621026813,0.1300000000000096,0.0,Middle,High
Equatorial Guinea,GNQ,2024,6745.40013244916,60.4,63.707,1.0124107269462446,0.3520000000000038,0.0,Middle,High
Eritrea,ERI,2023,412.753079199423,20.0,68.624,0.0,0.8349999999999937,6.951871657754016,Low,Low
Estonia,EST,2024,31170.0915091887,93.2,78.490243902439,3.4406683158145324,0.6463414634146005,0.0,High,Very High
Eswatini,SWZ,2024,3936.10969242371,57.6,64.123,5.196036533924309,1.095000000000006,0.0,Lower-middle,High
Ethiopia,ETH,2023,1011.07332413462,16.7,67.315,0.0,0.4179999999999921,0.0,Lower-middle,Low
Euro area,EMU,2024,46724.355622795,,82.1920076156423,3.673623800112136,0.5707838704124981,,High,
Europe & Central Asia,ECS,2024,31392.581963732,,78.3870183177038,5.218121141358512,0.5509052326196127,,High,
Europe & Central Asia (IDA & IBRD countries),TEC,2024,13257.56545104,,74.7300564025194,9.503994170112428,0.5384530422768989,,Upper-middle,
Europe & Central Asia (excluding high income),ECA,2024,9668.56270854153,,74.7987152767476,12.80014021074678,0.2200929376998033,,Middle,
European Union,EUU,2024,43145.1566930223,,81.4114503796875,4.235309147851085,0.6984685413666938,,High,
Faroe Islands,FRO,2023,71774.3522353393,97.6,83.1439024390244,8.519842763668862,0.2000000000000028,0.0,High,Very High
Fiji,FJI,2024,6288.39867264416,79.3,67.316,6.786888622993126,0.1680000000000063,0.0,Middle,High
Finland,FIN,2024,53188.6186245158,93.5,81.6853658536585,0.6949956191660833,0.4975609756097015,0.0,High,Very High
Fragile and conflict affected situations,FCS,2024,1690.97291408665,,63.3732812629951,-5.100691464100427,0.6455980761973024,,Lower-middle,
France,FRA,2024,46150.4876861593,86.8,82.9292682926829,3.265881910250057,0.8000000000000114,0.0,High,Very High
French Polynesia,PYF,2023,22774.1418988734,72.7,84.07,9.814968196991837,0.2109999999999985,0.0,Upper-middle,High
Gabon,GAB,2024,8218.76307061848,71.9,68.337,1.8257717032426068,0.6240000000000094,0.0,Middle,High
"Gambia, The",GMB,2024,908.525674150965,45.9,65.86,2.293317213637636,1.0010000000000048,0.0,Low,Medium
Georgia,GEO,2024,9193.66366361489,81.9,74.496,10.985397780420248,0.3549999999999897,0.0,Middle,Very High
